S. No.,Name,Location
P 243,Thapa Hiti,Thapa Tol
P 244,Thapa Bahi,Thapa Tol
P 245,Palu Baha,Thapa Tol
P 246,Guje Baha,Guje Baha
P 247,Chaitya,Guje Baha Nani
P 248,Siddhi Baha,Chalachhen
P 249,Guje Baha,Chalachhen
P 250,Narayan,Chalachhen
P 251,Hari Shankar,Sauga 
P 252,Shiva,Sauga 
P 253,Sum Baha,Sauga 
P 254,Krishna,Sauga 
P 255,Sikucha Baha,Thaina
P 256,Kaatha Baha,Thaina
P 257,Jotha Baha,Thaina
P 258,Shakya Singha Maha Vihar,Thaina
P 259,Kul Chaitya Baha,Thaina
P 260,Naudo Baha,"Bhaka Baha, Navdo"
P 261,Jya Baha Bahi,Chaka Ba
P 262,Na Baha Khwa Khan Baha,Chaka Ba
P 263,Harsha Baha,Hakha
P 264,Tri Ratna Singh Baha,Hakha
P 265,Dev Nani,Hakha
P 266,Tri Brikram Vishnu,Hauga
P 267,Hauga Baha,Hauga
P 268,Jom Baha Jagat Kalyan Vihar,Hauga
P 269,Ganesh,Tichhugalli
P 270,Bishwa Karma,Tichhugalli
P 271,Nriteswar,Chaka Baha
P 272,I Baha Dune,Chaka Baha
P 273,I Baha Bahi,Chaka Baha
P 274,Lakshmi Narayan,Chaka Baha
P 275,Shiva Mandir,Chaka Baha
P 276,Chakba Lonhiti,Tangal
P 277,Min Nath,Tangal
P 278,Tanga Baha,Tangal
P 279,Buina Ganesh,Tangal
P 280,Chuka Baha,Tangal
P 281,Lagan Baha,Lagankhel
P 282,Dolan Mai,Lagankhel
P 283,Lon Hiti,Lagankhel
P 284,Batuk Bhairab,Lagankhel
